# Gleam_name               RA_gleam     Dec_gleam     S_p          S_p_error     nu_p    nu_p_error   alpha_thin     alpha_thin_error   alpha_thick   alpha_thick_error   alpha_low       alpha_low_error   alpha_high      alpha_high_error   q              q_error       z          z_ref   S_200        S_200_error    RA_vlssr     Dec_vlssr     S_vlssr      S_vlssr_error   TGSS-ADR1_name             RA_tgss    Dec_tgss    S_tgss       S_tgss_error   MRC_name        RA_mrc       Dec_mrc       S_mrc   S_mrc_error   RA_sumss     Dec_sumss    S_sumss   S_summs_error   RA_nvss       Dec_nvss      S_nvss        S_nvss_error   S_76           S_76_err      S_84           S_84_err      S_92          S_92_err      S_99            S_99_err      S_107           S_107_err     S_115           S_115_err     S_122         S_122_err     S_130           S_130_err     S_143         S_143_err     S_151         S_151_err     S_158         S_158_err      S_166         S_166_err      S_174        S_174_err     S_181        S_181_err     S_189        S_189_err      S_197        S_197_err      S_204        S_204_err      S_212        S_212_err     S_220        S_220_err      S_227        S_227_err     
  "GLEAM J000517-664931"   1.3243006    -66.82549     2.0818262    0.58567137    73.0    11.0         -0.6765764     0.20864855         ""            ""                  -0.74314237     0.092184894       -0.57608217     0.091013044        -0.60309315    0.039760917   ""         ""      1.2269764    0.013071368    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0002-671"  1.3304167    -66.825554    0.89    0.0445        1.3252083    -66.82503    0.5037    0.025185        ""            ""            ""            ""             2.0345652      0.11039289    2.0899913      0.095804825   2.0603607     0.09197159    1.923572        0.09255223    1.9470416       0.072074145   1.8332845       0.06464501    1.7949857     0.061227053   1.7160441       0.057942446   1.6024396     0.053906128   1.5079389     0.049658973   1.4855299     0.048335366    1.3997346     0.046075955    1.3156017    0.04602957    1.2877216    0.044570863   1.212508     0.042394113    1.2124233    0.042895965    1.1106716    0.041955847    1.060859     0.04008391    1.0273247    0.038275015    0.96557873   0.037789315   
  "GLEAM J000649-525926"   1.7043059    -52.99069     0.9117626    0.050488114   166.0   12.0         -0.4375749     0.08197433         2.220658      1.8535877           0.20768808      0.08310825        -0.3476683      0.10586968         -0.7430404     0.1399604     ""         ""      0.89924353   0.011785138    ""           ""            ""           ""              "TGSSADR J000648.9-525931" 1.70378    -52.99202   0.693        0.069699995    ""              ""           ""            ""      ""            1.703        -52.992363   0.5271    0.026355        ""            ""            ""            ""             0.46025038     0.09976433    0.5322551      0.07476262    0.72219926    0.06705719    0.76886296      0.06516798    0.8361905       0.048476804   0.8590643       0.043012507   0.78231627    0.03955505    0.8731373       0.038944937   0.8892636     0.03805256    0.93979657    0.03630263    0.9545802     0.035650373    0.939231      0.035285138    0.9005843    0.03439364    0.89628166   0.033596948   0.8664341    0.032571964    0.9084516    0.03438603     0.9049351    0.0333345      0.8758717    0.031796083   0.8982589    0.032043077    0.886933     0.031894423   
  "GLEAM J000742-454909"   1.9272381    -45.819427    0.22673517   0.036245193   405.0   141.0        -0.71619755    0.1521103          0.7461405     0.88087344          0.6728966       0.22106986        -0.0059505273   0.092352696        0.047740396    1.0930544     ""         ""      0.19324659   0.010101605    ""           ""            ""           ""              "TGSSADR J000742.9-454907" 1.92895    -45.81875   0.1644       0.0178         ""              ""           ""            ""      ""            1.9291667    -45.81875    0.1901    0.009505        ""            ""            ""            ""             0.17587182     0.08289788    0.19822681     0.062234428   0.09880503    0.053617932   0.044196688     0.052302603   0.046603136     0.03575313    0.13762783      0.03351393    0.10797139    0.028744284   0.15872341      0.0286789     0.15231453    0.022632742   0.14482334    0.019242799   0.16333333    0.017941896    0.14853784    0.016423693    0.13912728   0.017653972   0.1666117    0.016930811   0.1983412    0.016504798    0.20440213   0.017045153    0.17733884   0.018844917    0.18413934   0.017811203   0.23145758   0.01924944     0.16382103   0.017884647   
  "GLEAM J000905-205630"   2.2749255    -20.94188     1.3173797    0.07800658    130.0   28.0         -0.5693726     0.13510193         0.6174407     0.574623            -0.07198185     0.08303143        -0.456809       0.09814614         -0.41210246    0.063839495   0.91       27      1.2214657    0.00834378     2.2720916    -20.944683    1.0947323    0.054736614     "TGSSADR J000905.9-205632" 2.27469    -20.94242   1.1935       0.1196         "MRC 0006-212"  2.2758334    -20.943333    1.18    0.058999997   ""           ""           ""        ""              2.2751045     -20.942337    0.53514355    0.026757179    1.1093189      0.08213414    1.2551109      0.0678279     1.206598      0.061326414   1.2829614       0.060746152   1.3807185       0.057896305   1.3211175       0.05214238    1.2953748     0.04962948    1.3031266       0.04848425    1.2775991     0.04588847    1.3039298     0.045297176   1.2801367     0.044077583    1.273167      0.04322713     1.2941465    0.042970806   1.2698398    0.04174142    1.2675433    0.041061725    1.2102395    0.039109237    1.214959     0.04128877     1.2032245    0.040822137   1.2047397    0.040275417    1.1307138    0.037883393   
  "GLEAM J000909-364807"   2.2910113    -36.801945    0.26015294   0.0367381     182.0   36.0         -1.0769508     0.1905033          0.42296422    0.33647877          0.16719224      0.0750333         -0.6488271      0.094216175        -0.043097004   0.2835226     ""         ""      0.26580334   0.009423123    ""           ""            ""           ""              "TGSSADR J000909.6-364803" 2.2903     -36.80105   0.2045       0.0211         ""              ""           ""            ""      ""            2.28975      -36.800888   0.1053    0.005265        2.290514      -36.801296    0.06912664    0.0034563323   0.14309312     0.0721165     0.2700952      0.05802923    0.19874926    0.0477877     0.23357403      0.04653271    0.2666189       0.035377048   0.24892011      0.030536043   0.246499      0.026641244   0.23032136      0.025658615   0.23552004    0.024508124   0.26569003    0.022771114   0.28398684    0.021865295    0.2767195     0.021733494    0.23284492   0.019562777   0.26758367   0.018809045   0.25358602   0.01799244     0.26563343   0.017289786    0.29179433   0.021469437    0.23852575   0.020988114   0.259226     0.021129549    0.27666375   0.021233471   
  "GLEAM J001220-410916"   3.0854528    -41.154556    1.6437188    0.0478974     153.0   23.0         -0.55541897    0.107227705        2.1775062     1.534149            0.18744497      0.07326276        -0.49992743     0.10958973         -0.9958117     0.063487895   ""         ""      1.6339037    0.009536927    ""           ""            ""           ""              "TGSSADR J001220.9-410916" 3.08709    -41.15449   1.7727       0.1774         "MRC 0009-414"  3.0866666    -41.151943    1.34    0.067         3.0870416    -41.15436    0.7663    0.038315        ""            ""            ""            ""             1.0664939      0.083154485   1.0592395      0.067743324   1.2846354     0.066034935   1.3020878       0.062834874   1.4327759       0.056344558   1.5189978       0.055156697   1.5640924     0.053588916   1.6314965       0.056352817   1.6877538     0.057138026   1.6888958     0.055598877   1.6897908     0.0546467      1.7053133     0.05445815     1.6102889    0.05246316    1.5938557    0.051296327   1.5772619    0.050732497    1.5788753    0.05063426     1.5386592    0.04832076     1.5221233    0.047677126   1.4993054    0.047232185    1.490223     0.046744008   
  "GLEAM J001238-713134"   3.1601682    -71.52629     1.5279071    0.10902807    83.0    20.0         -0.73897237    0.106445976        ""            ""                  -0.55134404     0.09165243        -0.76448613     0.09483613         -0.518063      0.059310336   ""         ""      1.0935256    0.013492368    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0010-718"  3.1608334    -71.52417     0.73    0.036500003   3.163625     -71.52725    0.3556    0.01778         ""            ""            ""            ""             1.5687878      0.11719913    1.5591905      0.091123484   1.4519461     0.08602016    1.4425668       0.08929401    1.48287         0.06353696    1.455255        0.058176477   1.4539447     0.056061246   1.3759542       0.051976778   1.3416599     0.04900844    1.2638702     0.045780953   1.2225206     0.043587312    1.1892058     0.042929307    1.1605778    0.042449843   1.1250911    0.040756162   1.0891289    0.038910944    1.048649     0.038366385    1.0134263    0.038333327    1.0135511    0.038293585   0.9653677    0.0358388      0.87202585   0.03473303    
  "GLEAM J001346+264633"   3.4450104    26.775991     1.1839701    0.073766604   136.0   58.0         -0.59484637    0.078046426        1.5898932     1.0637329           -0.15558569     0.0715274         -0.58227855     0.08051601         -0.6137207     0.18409926    ""         ""      1.0895185    0.03888983     3.4420698    26.777866     0.72150636   0.03607532      "TGSSADR J001346.6+264635" 3.44439    26.77666    0.92609996   0.0927         ""              ""           ""            ""      ""            ""           ""           ""        ""              3.4441862     26.776686     0.37484044    0.018742023    0.969838       0.16948035    0.9481796      0.14058018    1.1453347     0.13678113    1.2114202       0.12163658    1.174931        0.0953577     1.151978        0.08419202    1.102252      0.07467371    1.1775357       0.06957098    1.1627933     0.059211016   1.1482832     0.059395943   1.1554438     0.054524336    1.1473606     0.057305787    1.2112595    0.087809466   1.1962521    0.08766368    1.1440039    0.08490147     1.0537921    0.14327274     1.1003605    0.06824149     1.189761     0.06476664    0.93063676   0.05831612     0.92321616   0.057339862   
  "GLEAM J001513-472706"   3.8080878    -47.45191     0.5504967    0.075185195   150.0   20.0         -0.21146782    0.09795426         2.5           1.4290617           0.54427737      0.11356727        -0.15435746     0.09869928         -1.2672493     0.23465529    ""         ""      0.5843321    0.008548992    ""           ""            ""           ""              "TGSSADR J001514.2-472709" 3.80948    -47.45256   0.6268       0.0629         ""              ""           ""            ""      ""            3.8090832    -47.451805   0.4293    0.021465        ""            ""            ""            ""             0.18590723     0.07709414    0.28708        0.05538127    0.18093085    0.05179327    0.2114948       0.048488252   0.34472555      0.03923285    0.38679183      0.035256144   0.427731      0.03169764    0.4701697       0.030034315   0.50564444    0.023094343   0.5046273     0.022308506   0.55632406    0.021994703    0.5487578     0.021394376    0.564485     0.02328711    0.5244422    0.021669395   0.5384617    0.021516949    0.52896065   0.021451667    0.5514623    0.023277797    0.5339274    0.022365589   0.55636114   0.022647504    0.564771     0.023223355   
  "GLEAM J001821-764436"   4.5890985    -76.743385    1.8355557    0.43031633    94.0    17.0         -0.53002733    0.17100805         ""            ""                  -0.6346913      0.07681863        -0.5148236      0.13120763         -0.7775604     0.09636275    ""         ""      1.3484313    0.018084776    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0016-770"  4.5983334    -76.742226    1.09    0.054500002   4.5954165    -76.7437     0.6368    0.03184         ""            ""            ""            ""             1.8182606      0.13775168    1.981733       0.11083594    1.7836353     0.10329274    1.6217684       0.105911255   1.7981215       0.08129367    1.7899809       0.07191526    1.6725284     0.066890545   1.7268714       0.06450884    1.6002103     0.058978934   1.5021651     0.05425002    1.4923595     0.053409323    1.4557121     0.050961994    1.4132079    0.052075885   1.370343     0.050196994   1.320525     0.047161154    1.2102766    0.043874666    1.16566      0.044175465    1.1185389    0.041629244   1.029236     0.039626062    0.97043586   0.037453596   
  "GLEAM J001932-710020"   4.88395      -71.00564     0.8905688    0.056049228   141.0   30.0         -0.4761903     0.10746165         2.2577882     1.667577            -0.08966584     0.089930736       -0.4843322      0.13140184         -0.78809035    0.09483123    ""         ""      0.8517042    0.015213622    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0017-712"  4.8854165    -71.00472     0.75    0.0375        4.885125     -71.00642    0.419     0.02095         ""            ""            ""            ""             0.62759686     0.10502098    0.8013838      0.082580194   0.74328935    0.079166494   0.7518231       0.081178494   0.80069256      0.055515334   0.8645022       0.0455235     0.88963586    0.04370323    0.9054071       0.04225676    0.8769862     0.038689744   0.9023426     0.0369004     0.8631552     0.0360781      0.85654426    0.036064856    0.856967     0.036366135   0.8723078    0.035129644   0.8537911    0.035790943    0.7915522    0.03376215     0.8166602    0.033756822    0.78624356   0.03243261    0.7321009    0.030399067    0.76071835   0.031651884   
  "GLEAM J001936-764017"   4.901417     -76.671646    3.2631001    0.33573782    87.0    22.0         -0.74887997    0.10650226         ""            ""                  -0.6937353      0.088127546       -0.7101667      0.08995351         -0.749756      0.07697724    ""         ""      2.2154903    0.020015987    ""           ""            ""           ""              ""                         ""         ""          ""           ""             "MRC 0017-769"  4.9154167    -76.670555    1.41    0.0705        4.902625     -76.67189    0.7591    0.037955        ""            ""            ""            ""             3.308558       0.16053168    3.3817244      0.1378136     3.2961817     0.1324043     3.0627592       0.13123392    3.1342182       0.111821055   3.0143178       0.102180645   2.9033754     0.09756394    2.8158617       0.0927009     2.7675898     0.08970197    2.5544384     0.082257085   2.545508      0.0816198      2.3970485     0.0765018      2.4192529    0.078486234   2.2812982    0.07390413    2.1682243    0.06997745     2.0009677    0.06468028     1.8891149    0.06261213     1.79622      0.059032477   1.6959785    0.05606943     1.5822564    0.05282297    
  "GLEAM J002118-211740"   5.328043     -21.294477    0.2175965    0.06602229    209.0   41.0         -1.1299797     0.53900224         0.35627767    0.638653            0.2452279       0.11993638        -0.57055074     0.091548555        -0.26532033    0.5877718     ""         ""      0.21888855   0.00899101     ""           ""            ""           ""              "TGSSADR J002118.9-211740" 5.32904    -21.29465   0.1993       0.021200001    ""              ""           ""            ""      ""            ""           ""           ""        ""              5.3288465     -21.294954    0.062508844   0.0031254422   0.18376583     0.08605539    0.20065136     0.06641469    0.19676928    0.05892521    0.21749187      0.051439468   0.1903313       0.04266368    0.14725956      0.035624545   0.19744657    0.032204222   0.19717908      0.031380985   0.22909977    0.026597805   0.1909349     0.023642628   0.2565223     0.022200681    0.21772763    0.02396715     0.19745761   0.019741923   0.22944635   0.018047567   0.19450991   0.016850727    0.23396872   0.01711102     0.20618647   0.020076515    0.18521863   0.017785762   0.23189768   0.017901367    0.23177533   0.017080555   
  "GLEAM J002208-104133"   5.536938     -10.692564    1.7492623    0.19584142    142.0   14.0         -0.848716      0.07432892         1.00927       0.14491561          0.025099726     0.07241975        -0.7262915      0.088868976        -0.65649277    0.0466202     ""         ""      1.6210402    0.009838376    5.53727      -10.691048    0.9791482    0.04895741      "TGSSADR J002209.0-104133" 5.53758    -10.69269   1.6544       0.1657         "MRC 0019-109"  5.536667     -10.693055    1.13    0.0565        ""           ""           ""        ""              5.537396      -10.692433    0.4050602     0.02025301     1.3485506      0.08470897    1.5071031      0.074691094   1.4685452     0.06638367    1.6269786       0.0678415     1.6370878       0.06159674    1.7235208       0.061386682   1.731402      0.05982352    1.7298262       0.058869075   1.7286185     0.059628867   1.716909      0.057262592   1.7312502     0.05731852     1.7527        0.05738943     1.7587003    0.056395866   1.6775054    0.05417126    1.6656797    0.05280059     1.6233119    0.05180848     1.6000122    0.05210978     1.551706     0.050522786   1.5532312    0.050284434    1.5295044    0.05009407    
  "GLEAM J002251-435218"   5.716565     -43.87173     1.0180911    0.0558248     136.0   33.0         -0.45708433    0.07665727         1.9616259     0.7257576           -0.04768238     0.08725256        -0.43866333     0.10279846         -0.49182686    0.108884804   ""         ""      0.9538935    0.008681467    ""           ""            ""           ""              "TGSSADR J002251.9-435216" 5.71628    -43.87125   1.1460999    0.114800006    "MRC 0020-441"  5.7170835    -43.871113    0.76    0.038         5.716125     -43.870945   0.5197    0.025985        ""            ""            ""            ""             0.7661719      0.07369928    0.9243892      0.05791577    0.9541225     0.05479983    1.0569576       0.05409831    0.87202376      0.041525993   1.0520853       0.0424644     1.0444806     0.04123226    1.0135322       0.03859404    0.99896896    0.035703566   1.0160582     0.035251435   0.98071945    0.0336782      1.003526      0.03366576     0.9864057    0.0332311     0.95967835   0.03202986    1.0027419    0.033018697    0.94230723   0.031515613    0.9405866    0.032824315    0.93757224   0.032239985   0.9140818    0.031441342    0.891479     0.030889925   
  "GLEAM J002301-294129"   5.7571635    -29.691544    0.8547413    0.11715935    139.0   22.0         -0.6605652     0.09361464         1.5605245     0.33932734          -0.04095361     0.09205378        -0.57859844     0.09460465         -0.63033986    0.071270086   ""         ""      0.8150417    0.010821377    5.7581196    -29.692926    0.79828066   0.039914034     "TGSSADR J002301.6-294129" 5.75702    -29.69157   0.96959996   0.0974         ""              ""           ""            ""      ""            ""           ""           ""        ""              5.7571807     -29.691942    0.24925907    0.012462954    0.6736796      0.07343476    0.780062       0.05789274    0.7462773     0.052599452   0.74798924      0.05010437    0.8140076       0.042113796   0.8110981       0.038419303   0.85518134    0.037709687   0.86040634      0.03626676    0.8620112     0.03739419    0.8889334     0.035457414   0.86099356    0.033808734    0.8280052     0.032007493    0.8157066    0.029806968   0.81643295   0.029162891   0.7874215    0.027739339    0.80422974   0.02823643     0.7684756    0.028062774    0.7501698    0.027183471   0.76553017   0.026871089    0.7447807    0.026474552   
  "GLEAM J002348+113643"   5.9513865    11.612057     0.6899915    0.029662201   299.0   59.0         -0.87220025    0.15292336         0.5796773     0.16344418          0.4094685       0.08073352        -0.37788215     0.13646178         -0.9176596     0.20271961    ""         ""      0.6438886    0.014802685    5.9539413    11.612957     0.53099674   0.026549837     "TGSSADR J002348.4+113646" 5.95178    11.61284    0.5867       0.059          "MRC 0021+113"  5.955        11.613611     0.72    0.036000002   ""           ""           ""        ""              5.9519563     11.612666     0.32979167    0.016489584    0.323106       0.108601764   0.39200097     0.0894454     0.34521735    0.0763024     0.39798468      0.06966162    0.47739607      0.050288085   0.45070603      0.043251388   0.51525885    0.04057778    0.53138715      0.03856328    0.5957726     0.033932935   0.60472596    0.031736415   0.5853104     0.029519979    0.5860027     0.027767036    0.6384287    0.036719546   0.67733544   0.037314128   0.64168394   0.034471232    0.61924255   0.037838504    0.69040805   0.03363918     0.61977166   0.030622425   0.61960995   0.031032909    0.60848236   0.029900309   
